16	1.73462
20	0.900564
22	0.910383
24	0.718097
26	0.4407
28	0.416116
30	0.500766
32	0.42914
34	0.434707
36	0.430839
38	0.402575
40	0.427489
44	0.428486
48	0.429069
52	0.452133
56	0.431033
60	0.454892
66	0.437813
72	0.426891
78	0.403218
84	0.428639
92	0.393955
100	0.402071
110	0.493302
120	0.45307
132	0.557114
144	0.444403
158	0.465061
172	0.457706
188	0.444078
206	0.457293
226	0.477556
248	0.506347
272	0.491064
298	0.535459
326	0.494957
358	0.488079
392	0.431399
430	0.494428
472	0.447958
518	0.472753
568	0.433186
624	0.452491
686	0.465438
754	0.463294
828	0.469756
910	0.466871
1000	0.512975
1100	0.562147
1210	0.463289
1330	0.471892
1462	0.493307
1608	0.47332
1768	0.542724
1944	0.624572
2138	0.611403
2350	0.636023
2584	0.590098
2842	0.570346
3126	0.706778
3438	0.683691
3780	0.713899
4158	0.705549
4572	0.80971
5028	0.725474
5530	0.791814
6082	0.833268
6690	0.929061
7358	1.01144
8092	1.12652
8900	1.1226
9790	1.2783
10768	1.31885
11844	1.47364
13028	1.53101
14330	1.72305
15762	1.75473
17338	1.78498
19070	2.09598
20976	2.01624
23072	2.19376
25378	2.27735
27914	2.47794
30704	2.79588
33774	2.99646
37150	3.12544
40864	3.51989
44950	3.74909
49444	4.1113
54388	4.43907
59826	4.81711
65808	5.28393
72388	5.79276
79626	6.34046
87588	6.94464
96346	7.62437
105980	8.33122
116578	9.07411
128234	10.4354
141056	10.9578
155160	12.0982
170676	13.5209
187742	11.644
206516	12.3168
227166	13.8271
249882	12.6799
274870	17.9614
302356	18.4611
332590	16.8317
365848	18.4056
402432	18.6089
442674	15.6085
486940	24.0533
535634	19.2911
589196	22.6107
648114	23.5171
712924	25.7826
784216	28.4452
862636	31.662
948898	34.6051
1043786	38.8683
1148164	42.5697
1262980	47.2843
1389278	52.8428
1528204	57.5278
1681024	63.75
1849126	69.6043
2034038	76.6201
2237440	85.2805
2461184	93.8081
2707302	104.01
2978032	116.209
3275834	126.884
3603416	138.945
3963756	153.561
4360130	169.34
4796142	186.482
5275756	206.866
5803330	228.094
6383662	251.632
7022028	277.606
7724230	305.668
8496652	338.38
9346316	372.989
